occId,term,scientificName
dog,Canidae,organism
screamer,Anhimidae,organism
beast,Animalia,organism
oak,Quercus,organism
animal,Animalia,organism
bird,Aves,organism
coffee,Coffea arabica,organism
parrot,Psittaciformes,organism
horse,Equus ferus caballus,organism
nightingale,Luscinia,organism
grass,Agrostis capillaris,organism
paw,Mammalia,body
tree,Tracheophyta,organism
maple,Acer,organism
elm,Ulmus,organism
plant,Plantae,organism
cat,Felis,organism
marten,Martes,organism
fir,Abies,organism
poplar,Populus,organism
rose,Rosa,organism
yew,Taxus,organism
apple,Malus domestica,organism
ivy,Hedera helix,organism
beech,Fagus,organism
honeysuckle,Lonicera periclymenum,organism
hare,Lepus,organism
tiger,Puma concolor,organism
elephant,Proboscidea,organism
wasp,Vespidae,organism
strawberry,Fragaria,organism
squirrel,Sciuridae,organism
ash,Fraxinus,organism
heath,Erica (Ericaceae),organism
camel,Camelus,organism
antelope,Alcelaphinae,organism
fly,Diptera,organism
leech,Hirudinea,organism
walnut,Juglans,organism
wolf,Canis lupus,organism
tang,Zebrasoma,organism
crocodile,Crocodylinae,organism
alder,Alnus,organism
sparrow,Passer,organism
willow,Salix,organism
cuckoo,Cuculidae,organism
finch,Sicalis,organism
canary,Serinus canaria,organism
lilac,Syringa vulgaris,organism
almond,Prunus triloba,organism
palm,Arecaceae,organism
potato,Solanum tuberosum,organism
deer,Cervidae,organism
ant,Formicidae,organism
insect,Insecta,organism
rail,Rallidae,organism
bush,Viburnum plicatum,organism
owl,Strigiformes,organism
moss,Bryophyta,organism
beetle,Coleoptera,organism
butterfly,Pieris (Pieridae),organism
spider,Araneae,organism
rabbit,Lagomorpha,organism
crow,Euploea,organism
lily,Lilium,organism
immortelle,Xeranthemum,organism
corn,Zea mays,organism
quail,Perdicinae,organism
snake,Serpentes,organism
earthworm,Lumbricina,organism
rosebud,Cercis,organism
frog,Anura,organism
hamlet,Hypoplectrus,organism
sprite,Arielulus,organism
mayflower,Epigaea repens,organism
cotton,Gossypium,organism
thyme,Thymus (Lamiaceae),organism
fox,Vulpes,organism
hau,Talipariti tiliaceum,organism
thistle,Carduus,organism
ferret,Mustela putorius furo,organism
sponge,Porifera,organism
blackbird,Curaeus curaeus,organism
linnet,Linaria (Animalia),organism
magpie,Pica,organism
duck,Anatidae,organism
bear,Ursidae,organism
perch,Percinae,organism
claw,Amniota,body
banana,Musa,organism
ape,Hominidae,organism
diadem,Hypolimnas,organism
trumpeter,Latridae,organism
whau,Entelea arborescens,organism
sleeper,Eleotridae,organism
lizard,Sauria,organism
mignonette,Reseda,organism
lion,Panthera leo,organism
humpback,Oncorhynchus gorbuscha,organism
measles,Paramyxoviridae,organism
mourner,Rhytipterna,organism
snowdrop,Galanthus nivalis,organism
cricket,Gryllidae,organism
weasel,Mustela,organism
alexander,Smyrnium olusatrum,organism
sheep,Ovis aries,organism
weaver,Ploceidae,organism
cattle,Bos taurus,organism
pig,Sus,organism
gourds,Cucurbitaceae,organism
valerian,Valeriana,organism
goose,Anserinae,organism
martin,Hirundinidae,organism
mule,Equus mulus,organism
sloth,Folivora,organism
friar,Atherina,organism
falcon,Falco,organism
sage,Salvia patens,organism
starling,Sturnus,organism
drill,Mandrillus leucophaeus,organism
mustard,Sinapis,organism
swallow,Hirundinidae,organism
rattan,Calameae,organism
flea,Siphonaptera,organism
whites,Pieris (Pieridae),organism
oats,Avena,organism
leopard,Panthera pardus,organism
shark,Selachimorpha,organism
hawk,Accipiter,organism
hornbeam,Carpinus,organism
carp,Carassius,organism
mint,Mentha,organism
ray,Rajomorphii,organism
wheat,Triticum urartu,organism
lettuce,Lactuca sativa,organism
springbok,Antidorcas marsupialis,organism
golden,Kyphosus vaigiensis,organism
whitehead,Mohoua albicilla,organism
erica,Erica (Araneae),organism
turkey,Meleagridinae,organism
edelweiss,Leontopodium nivale,organism
crane,Grus,organism
rat,Rattus,organism
torpedo,Torpedo,organism
raspberry,Rubus idaeus,organism
zulu,Neoromicia zuluensis,organism
gull,Larus,organism
hyena,Hyaeninae,organism
pear,Pyrus,organism
jack,Esox lucius,organism
mahogany,Swietenia,organism
argonaut,Argonauta,organism
rhinoceros,Rhinoceros,organism
cowrie,Cypraeidae,organism
mosquito,Culicidae,organism
acacia,Albizia saman,organism
mimosa,Mimosa pigra,organism
fang,Carnivora,body
runner,Elagatis,organism
panther,Puma concolor,organism
quagga,Equus quagga quagga,organism
gooseberry,Ribes uva-crispa,organism
hartebeest,Alcelaphus buselaphus,organism
gnu,Connochaetes,organism
brick,Thunbergia mysorensis,organism
grunt,Haemulon,organism
hedgehog,Erinaceinae,organism
salmon,Oncorhynchus,organism
hippopotamus,Hippopotamus amphibius,organism
baboon,Papio,organism
arnica,Arnica montana,organism
giraffe,Giraffa,organism
blackberry,Rubus,organism
maize,Zea mays,organism
snout,Mammalia,body
alligator,Alligator,organism
goat,Capra hircus,organism
diver,Gavia,organism
gourd,Cucurbita,organism
heron,Ardea,organism
reptile,Reptilia,organism
kingfisher,Alcedinidae,organism
caracal,Caracal caracal,organism
manioc,Manihot esculenta,organism
livingstone,Lithops,organism
pomegranate,Punica granatum,organism
mango,Mangifera indica,organism
plantain,Musa × paradisiaca,organism
bat,Chiroptera,organism
chestnut,Castanea,organism
jasmine,Jasminum,organism
tamarind,Tamarindus indica,organism
guava,Psidium guajava,organism
nightshade,Solanum,organism
pigeon,Columba,organism
olive,Ipimorpha subtusa,organism
sombrero,Ratibida columnifera,organism
porpoise,Phocoenidae,organism
miner,Geositta,organism
firefly,Lampyridae,organism
caiman,Caimaninae,organism
rice,Oryza sativa,organism
kite,Milvus,organism
albatross,Diomedeidae,organism
bugle,Ajuga reptans,organism
ram,Ovis aries,organism
bamboo,Bambuseae,organism
clover,Trifolium,organism
rust,Pucciniales,organism
yam,Dioscorea,organism
